event_id,rdate,description,url,affiliation
wikipedia-2014-02-05national-weatherperson-s-day-united-states,2014-02-05,National Weatherperson's Day(United States),http://en.wikipedia.org/wiki/National_Weatherperson%27s_Day,
wikipedia-2014-02-05runeberg-s-birthday-whereruneberg-s-tartare-made-specially-for-the-holiday-finland,2014-02-05,"Runeberg's Birthday, whereRuneberg's tartare made specially for the holiday. (Finland)",http://en.wikipedia.org/wiki/Johan_Ludvig_Runeberg,
wikipedia-2014-02-05unity-day-burundi,2014-02-05,Unity Day(Burundi),http://en.wikipedia.org/wiki/Public_holidays_in_Burundi,
wikipedia-2014-02-06christianfeast-day:amanddorothea-of-caesareapaul-mikititusvedastusfebruary-6-eastern-orthodox-liturgics,2014-02-06,ChristianFeast Day:AmandDorothea of CaesareaPaul MikiTitusVedastusFebruary 6 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Calendar_of_saints,
wikipedia-2014-02-06amand,2014-02-06,Amand,http://en.wikipedia.org/wiki/Saint_Amand,
wikipedia-2014-02-06dorothea-of-caesarea,2014-02-06,Dorothea of Caesarea,http://en.wikipedia.org/wiki/Dorothea_of_Caesarea,
wikipedia-2014-02-06paul-miki,2014-02-06,Paul Miki,http://en.wikipedia.org/wiki/Saint_Paul_Miki,
wikipedia-2014-02-06titus,2014-02-06,Titus,http://en.wikipedia.org/wiki/Saint_Titus,
wikipedia-2014-02-06vedastus,2014-02-06,Vedastus,http://en.wikipedia.org/wiki/Saint_Vedastus,
wikipedia-2014-02-06february-6-eastern-orthodox-liturgics,2014-02-06,February 6 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_6_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-06international-day-of-zero-tolerance-to-female-genital-mutilation-united-nations,2014-02-06,International Day of Zero Tolerance to Female Genital Mutilation(United Nations),http://en.wikipedia.org/wiki/International_Day_of_Zero_Tolerance_to_Female_Genital_Mutilation,
wikipedia-2014-02-06ronald-reagan-day-california,2014-02-06,Ronald Reagan Day(California),http://en.wikipedia.org/wiki/Ronald_Reagan_Day,
wikipedia-2014-02-06sami-national-day-russia-finland-norwayandsweden,2014-02-06,"Sami National Day(Russia,Finland,NorwayandSweden)",http://en.wikipedia.org/wiki/Sami_National_Day,
wikipedia-2014-02-06waitangi-day-celebrates-the-founding-ofnew-zealandin-1840,2014-02-06,"Waitangi Day, celebrates the founding ofNew Zealandin 1840.",http://en.wikipedia.org/wiki/Waitangi_Day,
wikipedia-2014-02-07christianfeast-day:blessedeugenia-smetblessedpope-pius-ixchrysoliusfebruary-7-eastern-orthodox-liturgics,2014-02-07,ChristianFeast Day:BlessedEugenia SmetBlessedPope Pius IXChrysoliusFebruary 7 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-07blessedeugenia-smet,2014-02-07,BlessedEugenia Smet,http://en.wikipedia.org/wiki/Eugenia_Smet,
wikipedia-2014-02-07blessedpope-pius-ix,2014-02-07,BlessedPope Pius IX,http://en.wikipedia.org/wiki/Pope_Pius_IX,
wikipedia-2014-02-07chrysolius,2014-02-07,Chrysolius,http://en.wikipedia.org/wiki/Saint_Chrysolius,
wikipedia-2014-02-07february-7-eastern-orthodox-liturgics,2014-02-07,February 7 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_7_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-07independence-day-celebrates-the-independence-ofgrenadafrom-theunited-kingdomin-1974,2014-02-07,"Independence Day, celebrates the independence ofGrenadafrom theUnited Kingdomin 1974.",http://en.wikipedia.org/wiki/Independence_Day,
wikipedia-2014-02-08christianfeast-day:cuthmann-of-steyningjerome-emilianijosephine-bakhitajuventius-of-paviameingold-of-huystephen-of-muretfebruary-8-eastern-orthodox-liturgics,2014-02-08,ChristianFeast Day:Cuthmann of SteyningJerome EmilianiJosephine BakhitaJuventius of PaviaMeingold of HuyStephen of MuretFebruary 8 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-08cuthmann-of-steyning,2014-02-08,Cuthmann of Steyning,http://en.wikipedia.org/wiki/Cuthmann_of_Steyning,
wikipedia-2014-02-08jerome-emiliani,2014-02-08,Jerome Emiliani,http://en.wikipedia.org/wiki/Saint_Jerome_Emiliani,
wikipedia-2014-02-08josephine-bakhita,2014-02-08,Josephine Bakhita,http://en.wikipedia.org/wiki/Josephine_Bakhita,
wikipedia-2014-02-08juventius-of-pavia,2014-02-08,Juventius of Pavia,http://en.wikipedia.org/wiki/Juventius_of_Pavia,
wikipedia-2014-02-08meingold-of-huy,2014-02-08,Meingold of Huy,http://en.wikipedia.org/wiki/Meingold_of_Huy,
wikipedia-2014-02-08stephen-of-muret,2014-02-08,Stephen of Muret,http://en.wikipedia.org/wiki/Saint_Stephen_of_Muret,
wikipedia-2014-02-08february-8-eastern-orthodox-liturgics,2014-02-08,February 8 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_8_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-08earliest-day-on-whichfeast-of-orthodoxycan-fall-while-march-14-is-the-latest;-celebrated-42-days-before-easter-orthodoxy,2014-02-08,"Earliest day on whichFeast of Orthodoxycan fall, while March 14 is the latest; celebrated 42 days before Easter. (Orthodoxy)",http://en.wikipedia.org/wiki/Feast_of_Orthodoxy,
wikipedia-2014-02-08nirvana-day-mahayana-buddhism,2014-02-08,Nirvana Day(Mahayana Buddhism),http://en.wikipedia.org/wiki/Parinirvana_Day,
wikipedia-2014-02-08preseren-day-slovenia,2014-02-08,Prešeren Day(Slovenia),http://en.wikipedia.org/wiki/Pre%C5%A1eren_Day,
wikipedia-2014-02-09christianfeast-day:anne-catherine-emmerichansbert-of-rouenapolloniamaron-lebanon-teilo-wales-february-9-eastern-orthodox-liturgics,2014-02-09,ChristianFeast Day:Anne Catherine EmmerichAnsbert of RouenApolloniaMaron(Lebanon)Teilo(Wales)February 9 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-09anne-catherine-emmerich,2014-02-09,Anne Catherine Emmerich,http://en.wikipedia.org/wiki/Anne_Catherine_Emmerich,
wikipedia-2014-02-09ansbert-of-rouen,2014-02-09,Ansbert of Rouen,http://en.wikipedia.org/wiki/Ansbert_of_Rouen,
wikipedia-2014-02-09apollonia,2014-02-09,Apollonia,http://en.wikipedia.org/wiki/Saint_Apollonia,
wikipedia-2014-02-09maron-lebanon,2014-02-09,Maron(Lebanon),http://en.wikipedia.org/wiki/Maron,
wikipedia-2014-02-09teilo-wales,2014-02-09,Teilo(Wales),http://en.wikipedia.org/wiki/Teilo,
wikipedia-2014-02-09february-9-eastern-orthodox-liturgics,2014-02-09,February 9 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_9_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-09earliest-day-on-whichclean-mondaycan-fall-while-march-15-is-the-latest;-celebrated-on-the-first-monday-before-easter-eastern-christianity,2014-02-09,"Earliest day on whichClean Mondaycan fall, while March 15 is the latest; celebrated on the first Monday before Easter. (Eastern Christianity)",http://en.wikipedia.org/wiki/Clean_Monday,
wikipedia-2014-02-09earliest-day-on-whichpeople-s-sundaycan-fall-while-march-15-is-the-latest;-celebrated-on-the-first-sunday-before-easter-malta,2014-02-09,"Earliest day on whichPeople's Sundaycan fall, while March 15 is the latest; celebrated on the first Sunday before Easter. (Malta)",http://en.wikipedia.org/wiki/People%27s_Sunday,
wikipedia-2014-02-10christianfeast-day:austrebertacharalampescholasticafebruary-10-eastern-orthodox-liturgics,2014-02-10,ChristianFeast Day:AustrebertaCharalampeScholasticaFebruary 10 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-10austreberta,2014-02-10,Austreberta,http://en.wikipedia.org/wiki/Saint_Austreberta,
wikipedia-2014-02-10charalampe,2014-02-10,Charalampe,http://en.wikipedia.org/wiki/Saint_Charalampe,
wikipedia-2014-02-10scholastica,2014-02-10,Scholastica,http://en.wikipedia.org/wiki/Saint_Scholastica,
wikipedia-2014-02-10february-10-eastern-orthodox-liturgics,2014-02-10,February 10 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_10_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-10feast-of-st-paul-s-shipwreck-malta,2014-02-10,Feast of St. Paul's Shipwreck(Malta),http://en.wikipedia.org/wiki/Public_holidays_in_Malta,
wikipedia-2014-02-10fenkil-day-eritrea,2014-02-10,Fenkil Day(Eritrea),http://en.wikipedia.org/wiki/Battle_of_Massawa_(1990),
wikipedia-2014-02-10national-memorial-day-of-the-exiles-and-foibe-commemorateitalianistriananddalmatianexiles-and-foibe-massacres-italy-especially-intrieste,2014-02-10,"National Memorial Day of the Exiles and Foibe, commemorateItalianIstrianandDalmatianexiles and Foibe massacres (Italy, especially inTrieste)",http://en.wikipedia.org/wiki/Foibe_massacres,
wikipedia-2014-02-11armed-forces-day-liberia,2014-02-11,Armed Forces Day(Liberia),http://en.wikipedia.org/wiki/Armed_Forces_Day,
wikipedia-2014-02-11christianfeast-day:benedict-of-anianeblaisecdmon-first-recorded-christian-poet-in-england-circa-680-ce-anglicanism-gregory-iigobnaitfebruary-11-eastern-orthodox-liturgics,2014-02-11,"ChristianFeast Day:Benedict of AnianeBlaiseCædmon, first recorded Christian Poet in England, circa 680 CE (Anglicanism)Gregory IIGobnaitFebruary 11 (Eastern Orthodox liturgics)",http://en.wikipedia.org/wiki/Calendar_of_saints,
wikipedia-2014-02-11benedict-of-aniane,2014-02-11,Benedict of Aniane,http://en.wikipedia.org/wiki/Benedict_of_Aniane,
wikipedia-2014-02-11blaise,2014-02-11,Blaise,http://en.wikipedia.org/wiki/Saint_Blaise,
wikipedia-2014-02-11cdmon-first-recorded-christian-poet-in-england-circa-680-ce-anglicanism,2014-02-11,"Cædmon, first recorded Christian Poet in England, circa 680 CE (Anglicanism)",http://en.wikipedia.org/wiki/C%C3%A6dmon,
wikipedia-2014-02-11gregory-ii,2014-02-11,Gregory II,http://en.wikipedia.org/wiki/Pope_Gregory_II,
wikipedia-2014-02-11gobnait,2014-02-11,Gobnait,http://en.wikipedia.org/wiki/Gobnait,
wikipedia-2014-02-11february-11-eastern-orthodox-liturgics,2014-02-11,February 11 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_11_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-11evelio-javier-day-panayisland-thephilippines,2014-02-11,"Evelio Javier Day(PanayIsland, thePhilippines)",http://en.wikipedia.org/wiki/Evelio_Javier_Day,
wikipedia-2014-02-11feast-day-ofour-lady-of-lourdes-catholic-church-and-its-related-observances:world-day-of-the-sick-roman-catholic-church,2014-02-11,"Feast day ofOur Lady of Lourdes(Catholic Church), and its related observances:World Day of the Sick(Roman Catholic Church)",http://en.wikipedia.org/wiki/Our_Lady_of_Lourdes,
wikipedia-2014-02-11world-day-of-the-sick-roman-catholic-church,2014-02-11,World Day of the Sick(Roman Catholic Church),http://en.wikipedia.org/wiki/World_Day_of_the_Sick,
wikipedia-2014-02-11islamic-revolution-s-victory-day-iran,2014-02-11,Islamic Revolution's Victory Day(Iran),http://en.wikipedia.org/wiki/Iranian_Revolution#Khomeini.27s_return_and_fall_of_the_monarchy,
wikipedia-2014-02-11national-foundation-day-japan,2014-02-11,National Foundation Day(Japan),http://en.wikipedia.org/wiki/National_Foundation_Day,
wikipedia-2014-02-11inventors-day-united-states,2014-02-11,Inventors' Day(United States),http://en.wikipedia.org/wiki/Inventors%27_Day,
wikipedia-2014-02-11youth-day-cameroon,2014-02-11,Youth Day(Cameroon),http://en.wikipedia.org/wiki/Youth_Day,
wikipedia-2014-02-12christianfeast-day:damian-of-alexandriajulian-the-hospitallerfebruary-12-eastern-orthodox-liturgics,2014-02-12,ChristianFeast Day:Damian of AlexandriaJulian the HospitallerFebruary 12 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Calendar_of_saints,
wikipedia-2014-02-12damian-of-alexandria,2014-02-12,Damian of Alexandria,http://en.wikipedia.org/wiki/Damian_of_Alexandria,
wikipedia-2014-02-12julian-the-hospitaller,2014-02-12,Julian the Hospitaller,http://en.wikipedia.org/wiki/Julian_the_Hospitaller,
wikipedia-2014-02-12february-12-eastern-orthodox-liturgics,2014-02-12,February 12 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_12_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-12darwin-day-international,2014-02-12,Darwin Day(International),http://en.wikipedia.org/wiki/Darwin_Day,
wikipedia-2014-02-12georgia-day-georgia,2014-02-12,Georgia Day(Georgia),http://en.wikipedia.org/wiki/Georgia_Day,
wikipedia-2014-02-12lincoln-s-birthday-united-states,2014-02-12,Lincoln's Birthday(United States),http://en.wikipedia.org/wiki/Lincoln%27s_Birthday,
wikipedia-2014-02-12national-freedom-to-marry-day-unofficial-united-states,2014-02-12,"National Freedom to Marry Day, unofficial (United States)",http://en.wikipedia.org/wiki/National_Freedom_to_Marry_Day,
wikipedia-2014-02-12red-hand-day-united-nations,2014-02-12,Red Hand Day(United Nations),http://en.wikipedia.org/wiki/Red_Hand_Day,
wikipedia-2014-02-12union-day-myanmar,2014-02-12,Union Day(Myanmar),http://en.wikipedia.org/wiki/Panglong_Agreement,
wikipedia-2014-02-12youth-day-venezuela,2014-02-12,Youth Day(Venezuela),http://en.wikipedia.org/wiki/Youth_Day#Venezuela,
wikipedia-2014-02-12emma-and-jayden-day-elk-river,2014-02-12,Emma and Jayden Day([Elk River]),http://en.wikipedia.org/w/index.php?title=Emma_and_Jayden_Day&action=edit&redlink=1,
wikipedia-2014-02-13christianfeast-day:beatrice-of-ornacieuxermenilda-of-elyfulcranpolyeuctus-roman-catholic-church-castor-of-karden-roman-catholic-church-february-13-eastern-orthodox-liturgics,2014-02-13,ChristianFeast Day:Beatrice of OrnacieuxErmenilda of ElyFulcranPolyeuctus(Roman Catholic church)Castor of Karden(Roman Catholic church)February 13 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-13beatrice-of-ornacieux,2014-02-13,Beatrice of Ornacieux,http://en.wikipedia.org/wiki/Beatrice_of_Ornacieux,
wikipedia-2014-02-13ermenilda-of-ely,2014-02-13,Ermenilda of Ely,http://en.wikipedia.org/wiki/Ermenilda_of_Ely,
wikipedia-2014-02-13fulcran,2014-02-13,Fulcran,http://en.wikipedia.org/wiki/Fulcran,
wikipedia-2014-02-13polyeuctus-roman-catholic-church,2014-02-13,Polyeuctus(Roman Catholic church),http://en.wikipedia.org/wiki/Polyeuctus,
wikipedia-2014-02-13castor-of-karden-roman-catholic-church,2014-02-13,Castor of Karden(Roman Catholic church),http://en.wikipedia.org/wiki/Castor_of_Karden,
wikipedia-2014-02-13february-13-eastern-orthodox-liturgics,2014-02-13,February 13 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_13_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-13the-first-day-oflupercalia-roman-empire,2014-02-13,The first day ofLupercalia(Roman Empire),http://en.wikipedia.org/wiki/Lupercalia,
wikipedia-2014-02-13the-festival-ofparentalia-roman-empire,2014-02-13,The Festival ofParentalia(Roman Empire),http://en.wikipedia.org/wiki/Parentalia,
wikipedia-2014-02-13world-radio-day,2014-02-13,World Radio Day,http://en.wikipedia.org/wiki/World_Radio_Day,
wikipedia-2014-02-14christianfeast-day:cyril-and-methodius-patron-saints-of-europe-roman-catholic-church-valentinefebruary-14-eastern-orthodox-liturgics,2014-02-14,"ChristianFeast Day:Cyril and Methodius, patron saints of Europe (Roman Catholic Church)ValentineFebruary 14 (Eastern Orthodox liturgics)",http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-14cyril-and-methodius-patron-saints-of-europe-roman-catholic-church,2014-02-14,"Cyril and Methodius, patron saints of Europe (Roman Catholic Church)",http://en.wikipedia.org/wiki/Saints_Cyril_and_Methodius,
wikipedia-2014-02-14valentine,2014-02-14,Valentine,http://en.wikipedia.org/wiki/Saint_Valentine,
wikipedia-2014-02-14february-14-eastern-orthodox-liturgics,2014-02-14,February 14 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_14_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-14communist-martyrs-day-iraqi-communist-party,2014-02-14,Communist Martyrs Day (Iraqi Communist Party),http://en.wikipedia.org/wiki/Iraqi_Communist_Party,
wikipedia-2014-02-14statehood-day-arizona,2014-02-14,Statehood Day(Arizona),http://en.wikipedia.org/wiki/List_of_U.S._states_by_date_of_statehood,
wikipedia-2014-02-14statehood-day-oregon,2014-02-14,Statehood Day (Oregon),http://en.wikipedia.org/wiki/Oregon,
wikipedia-2014-02-14the-second-day-oflupercalia-ancient-rome,2014-02-14,The second day ofLupercalia(Ancient Rome),http://en.wikipedia.org/wiki/Lupercalia,
wikipedia-2014-02-14valentine-s-day-international,2014-02-14,Valentine's Day(International),http://en.wikipedia.org/wiki/Valentine%27s_Day,
wikipedia-2014-02-15candlemas-eastern-orthodox-church,2014-02-15,Candlemas(Eastern Orthodox Church),http://en.wikipedia.org/wiki/Candlemas,
wikipedia-2014-02-15christianfeast-day:claude-de-la-colombierefaustinus-and-jovitaquinidiussigfrid-of-swedenvartan-aholidayforarmenians-in-lebanon-february-15-eastern-orthodox-liturgics,2014-02-15,ChristianFeast Day:Claude de la ColombièreFaustinus and JovitaQuinidiusSigfrid of SwedenVartan(aholidayforArmenians in Lebanon)February 15 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-15claude-de-la-colombiere,2014-02-15,Claude de la Colombière,http://en.wikipedia.org/wiki/Claude_de_la_Colombi%C3%A8re,
wikipedia-2014-02-15faustinus-and-jovita,2014-02-15,Faustinus and Jovita,http://en.wikipedia.org/wiki/Faustinus_and_Jovita,
wikipedia-2014-02-15quinidius,2014-02-15,Quinidius,http://en.wikipedia.org/wiki/Quinidius,
wikipedia-2014-02-15sigfrid-of-sweden,2014-02-15,Sigfrid of Sweden,http://en.wikipedia.org/wiki/Sigfrid_of_Sweden,
wikipedia-2014-02-15vartan-aholidayforarmenians-in-lebanon,2014-02-15,Vartan(aholidayforArmenians in Lebanon),http://en.wikipedia.org/wiki/Saint_Vartan#Vartan_Mamikonian,
wikipedia-2014-02-15february-15-eastern-orthodox-liturgics,2014-02-15,February 15 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_15_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-15liberation-day-afghanistan,2014-02-15,Liberation Day(Afghanistan),http://en.wikipedia.org/wiki/Liberation_Day,
wikipedia-2014-02-15john-frum-day-vanuatu,2014-02-15,John Frum Day(Vanuatu),http://en.wikipedia.org/wiki/John_Frum,
wikipedia-2014-02-15national-day-serbia,2014-02-15,National Day(Serbia),http://en.wikipedia.org/wiki/Public_holidays_in_Serbia,
wikipedia-2014-02-15national-flag-of-canada-day-canada,2014-02-15,National Flag of Canada Day(Canada),http://en.wikipedia.org/wiki/National_Flag_of_Canada_Day,
wikipedia-2014-02-15parinirvana-day-also-celebrated-on-february-8-mahayana-buddhism,2014-02-15,"Parinirvana Day, also celebrated on February 8. (Mahayana Buddhism)",http://en.wikipedia.org/wiki/Parinirvana_Day,
wikipedia-2014-02-15susan-b-anthony-day-united-states,2014-02-15,Susan B. Anthony Day(United States),http://en.wikipedia.org/wiki/Susan_B._Anthony_Day,
wikipedia-2014-02-15the-third-and-final-day-oflupercalia-also-known-asfebrua-roman-empire,2014-02-15,"The third and final day ofLupercalia, also known asFebrua. (Roman Empire)",http://en.wikipedia.org/wiki/Lupercalia,
wikipedia-2014-02-15total-defence-day-singapore,2014-02-15,Total Defence Day(Singapore),http://en.wikipedia.org/wiki/Total_Defence_Day,
wikipedia-2014-02-16christianfeast-day:abda-of-edessaelias-and-companionsjuliana-of-nicomedia-catholic-church-onesimusfebruary-16-eastern-orthodox-liturgics,2014-02-16,ChristianFeast Day:Abda of EdessaElias and companionsJuliana of Nicomedia(Catholic Church)OnesimusFebruary 16 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-16abda-of-edessa,2014-02-16,Abda of Edessa,http://en.wikipedia.org/wiki/Abda_of_Edessa,
wikipedia-2014-02-16elias-and-companions,2014-02-16,Elias and companions,http://en.wikipedia.org/wiki/Saint_Elias_and_companions,
wikipedia-2014-02-16juliana-of-nicomedia-catholic-church,2014-02-16,Juliana of Nicomedia(Catholic Church),http://en.wikipedia.org/wiki/Juliana_of_Nicomedia,
wikipedia-2014-02-16onesimus,2014-02-16,Onesimus,http://en.wikipedia.org/wiki/Onesimus,
wikipedia-2014-02-16february-16-eastern-orthodox-liturgics,2014-02-16,February 16 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_16_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-16kim-jong-il-s-birthday-north-korea,2014-02-16,Kim Jong-il's Birthday(North Korea),http://en.wikipedia.org/wiki/Public_holidays_in_North_Korea,
wikipedia-2014-02-16restoration-of-lithuania-s-statehood-day-celebrate-the-independence-of-lithuania-from-russia-and-germany-in-1918-lithuania,2014-02-16,"Restoration of Lithuania's Statehood Day, celebrate the independence of Lithuania from Russia and Germany in 1918 (Lithuania)",http://en.wikipedia.org/wiki/Act_of_Independence_of_Lithuania,
wikipedia-2014-02-17christianfeast-day:seven-founders-of-the-servite-orderalexis-falconiericonstabilisfintan-of-clonenaghlomman-of-trimfebruary-17-eastern-orthodox-liturgics,2014-02-17,ChristianFeast Day:Seven Founders of the Servite OrderAlexis FalconieriConstabilisFintan of ClonenaghLommán of TrimFebruary 17 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-17seven-founders-of-the-servite-orderalexis-falconieri,2014-02-17,Seven Founders of the Servite OrderAlexis Falconieri,http://en.wikipedia.org/wiki/Servite_Order,
wikipedia-2014-02-17alexis-falconieri,2014-02-17,Alexis Falconieri,http://en.wikipedia.org/wiki/Alexis_Falconieri,
wikipedia-2014-02-17constabilis,2014-02-17,Constabilis,http://en.wikipedia.org/wiki/Constabilis,
wikipedia-2014-02-17fintan-of-clonenagh,2014-02-17,Fintan of Clonenagh,http://en.wikipedia.org/wiki/Fintan_of_Clonenagh,
wikipedia-2014-02-17lomman-of-trim,2014-02-17,Lommán of Trim,http://en.wikipedia.org/wiki/Lomm%C3%A1n_of_Trim,
wikipedia-2014-02-17february-17-eastern-orthodox-liturgics,2014-02-17,February 17 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_17_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-17independence-day-celebrates-the-independence-declaration-ofkosovoin-2008-stillunder-dispute,2014-02-17,"Independence Day, celebrates the independence declaration ofKosovoin 2008, stillunder dispute.",http://en.wikipedia.org/wiki/2008_Kosovo_declaration_of_independence,
wikipedia-2014-02-17quirinalia-in-honor-ofquirinus-roman-empire,2014-02-17,"Quirinalia, in honor ofQuirinus(Roman Empire)",http://en.wikipedia.org/wiki/Quirinalia,
wikipedia-2014-02-18christianfeast-day:bernadette-soubirouscolman-of-lindisfarneflavian-of-constantinoplesimeon-of-jerusalem-western-christianity-february-18-eastern-orthodox-liturgics,2014-02-18,ChristianFeast Day:Bernadette SoubirousColmán of LindisfarneFlavian of ConstantinopleSimeon of Jerusalem(Western Christianity)February 18 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-18bernadette-soubirous,2014-02-18,Bernadette Soubirous,http://en.wikipedia.org/wiki/Bernadette_Soubirous,
wikipedia-2014-02-18colman-of-lindisfarne,2014-02-18,Colmán of Lindisfarne,http://en.wikipedia.org/wiki/Colm%C3%A1n_of_Lindisfarne,
wikipedia-2014-02-18flavian-of-constantinople,2014-02-18,Flavian of Constantinople,http://en.wikipedia.org/wiki/Archbishop_Flavian_of_Constantinople,
wikipedia-2014-02-18simeon-of-jerusalem-western-christianity,2014-02-18,Simeon of Jerusalem(Western Christianity),http://en.wikipedia.org/wiki/Simeon_of_Jerusalem,
wikipedia-2014-02-18february-18-eastern-orthodox-liturgics,2014-02-18,February 18 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_18_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-18independence-day-celebrates-the-independence-of-thegambiafrom-the-united-kingdom-in-1965,2014-02-18,"Independence Day, celebrates the independence of theGambiafrom the United Kingdom in 1965.",http://en.wikipedia.org/wiki/Independence_Day,
wikipedia-2014-02-18sepandarmazganor-women-s-day-in-iran,2014-02-18,"Sepandārmazgānor ""Women's Day"" in Iran",http://en.wikipedia.org/wiki/Sepand%C4%81rmazg%C4%81n,
wikipedia-2014-02-19armed-forces-day-mexico,2014-02-19,Armed Forces Day(Mexico),http://en.wikipedia.org/wiki/Public_holidays_in_Mexico,
wikipedia-2014-02-19birthday-ofshivajiorshivaji-jayanti-maharashtra-india,2014-02-19,"Birthday ofShivajiorShivaji Jayanti(Maharashtra,India)",http://en.wikipedia.org/wiki/Shivaji,
wikipedia-2014-02-19christianfeast-day:barbatus-of-beneventoconrad-of-piacenzafebruary-19-eastern-orthodox-liturgics,2014-02-19,ChristianFeast Day:Barbatus of BeneventoConrad of PiacenzaFebruary 19 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-19barbatus-of-benevento,2014-02-19,Barbatus of Benevento,http://en.wikipedia.org/wiki/Barbatus_of_Benevento,
wikipedia-2014-02-19conrad-of-piacenza,2014-02-19,Conrad of Piacenza,http://en.wikipedia.org/wiki/Conrad_of_Piacenza,
wikipedia-2014-02-19february-19-eastern-orthodox-liturgics,2014-02-19,February 19 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_19_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-19commemoration-of-bulgaria-s-apostle-of-freedom-vassil-levski-bulgaria,2014-02-19,Commemoration of Bulgaria's Apostle of Freedom Vassil Levski(Bulgaria),http://en.wikipedia.org/wiki/Vassil_Levski#Commemoration,
wikipedia-2014-02-19flag-day-turkmenistan,2014-02-19,Flag Day(Turkmenistan),http://en.wikipedia.org/wiki/Flag_Day,
wikipedia-2014-02-20christianfeast-day:eucherius-of-orleanseleutherius-of-tournaiwulfric-of-haselburyfebruary-20-eastern-orthodox-liturgics,2014-02-20,ChristianFeast Day:Eucherius of OrleansEleutherius of TournaiWulfric of HaselburyFebruary 20 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-02-20eucherius-of-orleans,2014-02-20,Eucherius of Orleans,http://en.wikipedia.org/wiki/Eucherius_of_Orleans,
wikipedia-2014-02-20eleutherius-of-tournai,2014-02-20,Eleutherius of Tournai,http://en.wikipedia.org/wiki/Eleutherius_of_Tournai,
wikipedia-2014-02-20wulfric-of-haselbury,2014-02-20,Wulfric of Haselbury,http://en.wikipedia.org/wiki/Wulfric_of_Haselbury,
wikipedia-2014-02-20february-20-eastern-orthodox-liturgics,2014-02-20,February 20 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/February_20_(Eastern_Orthodox_liturgics),
wikipedia-2014-02-20world-day-of-social-justice-international,2014-02-20,World Day of Social Justice(International),http://en.wikipedia.org/wiki/World_Day_of_Social_Justice,
wikipedia-2014-02-21christianfeast-day:pepin-of-landenpeter-damianrandoaldfebruary-21-eastern-orthodox-liturgics,2014-02-21,ChristianFeast Day:Pepin of LandenPeter DamianRandoaldFebruary 21 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
